ISO3,Year,actual_funding,pred_funding,funding_ratio_gap,neighbor_avg_ratio_gap,neighbor_avg_funding,relative_to_peers
UKR,2021,14792256.46,10107881.68589044,0.4634378319493453,3.853675065147626,114384625.75,-3.3902372331982806
UKR,2022,192664497.06,12993911.433072302,13.82729030841532,0.5127119460311322,78810177.63,13.314578362384188
UKR,2023,183672269.28,14979910.251536287,11.261239633339137,0.5208626365173418,90054985.286,10.740376996821796
UKR,2024,164338871.75,108109103.77156976,0.5201205635488526,3.839504382247749,91195953.786,-3.3193838186988964
UKR,2025,201206937.33,112715189.37455645,0.785091596318775,3.5693077542539355,87196135.102,-2.7842161579351608
VEN,2021,11456037.35,30422000.890640695,-0.6234291954963278,-0.5327710387347746,9112411.054,-0.0906581567615532
VEN,2022,9392778.19,15463532.497991651,-0.39258522001878293,-0.5363139659885942,15165946.574000001,0.14372874596981122
VEN,2023,12163013.0,17391556.366692062,-0.30063688703017155,-0.5973295004280058,8971015.923999999,0.29669261339783426
VEN,2024,12613729.78,19456269.40934744,-0.3516881620718131,-0.5465382304753367,14521756.256000001,0.1948500684035236
VEN,2025,8965515.94,5494820.566284043,0.631630338397577,-0.32607336357928507,26789649.619999997,0.957703701976862
YEM,2018,188161347.32,,,-0.36794369774292895,67435426.28199999,
YEM,2019,239404030.19,,,-0.33323775896666746,100290048.172,
YEM,2020,99093834.22,210801926.77941844,-0.5299196941226678,-0.26767711391466736,128352087.36600001,-0.26224258020800045
YEM,2021,113004284.5,109115487.2121072,0.03563927896260455,-0.46883944191931226,82466838.846,0.5044787208819168
YEM,2022,78568691.27000001,108026242.43798645,-0.2726888439621219,-0.3917574111881307,89353957.49200001,0.11906856722600878
YEM,2023,85897174.57,123051878.34034988,-0.30194341014107473,-0.38444376964339244,87888260.832,0.08250035950231771
YEM,2024,37084897.52,139807811.04562366,-0.7347437368295678,-0.2762436879712692,97650716.242,-0.45850004885829865
YEM,2025,22622083.55,52122427.90248446,-0.5659817767444847,-0.31843417799254,100543279.036,-0.2475475987519447
